id,model,architecture,process_size_nm,transistor_count,density_m_per_mm2,die_size_mm2,tdp_w,memory_size_gb,memory_type,launch_price_usd,release_date,tensor_core_count,pixel_rate_gpixel_per_s,texture_rate_gtexel_per_s,fp32_tflops,base_clock_mhz,boost_clock_mhz,foundry
87,Radeon RX 6600 XT,RDNA 2.0,7,11060,46.7,237,160,8.0,GDDR6,379,2021-07-30,,165.7,331.4,10.6,1968,2589,TSMC
88,Radeon RX 6800,RDNA 2.0,7,26800,51.5,520,250,16.0,GDDR6,579,2020-10-28,,202.1,505.2,16.17,1700,2105,TSMC
89,GeForce GTX 1050 Ti,PASCAL,14,3300,25.0,132,75,4.0,GDDR5,139,2016-10-25,,44.54,66.82,2.138,1291,1392,SAMSUNG
90,GeForce GT 730,CURIE,80,177,1.8,100,24,0.125,DDR2,,2006-05-15,,2.8,2.8,,,,TSMC
91,Radeon R9 Nano,GCN 3.0,28,8900,14.9,596,175,4.0,HBM,649,2015-08-27,,64.0,256.0,8.192,,,TSMC
92,GeForce RTX 3080,AMPERE,8,28300,45.1,628,320,10.0,GDDR6X,699,2020-09-01,272,164.2,465.1,29.77,1440,1710,SAMSUNG
93,GeForce RTX 4080,ADA LOVELACE,5,45900,121.1,379,320,16.0,GDDR6X,1199,2022-09-20,304,280.6,761.5,48.74,2205,2505,TSMC
94,Radeon RX 6700 XT,RDNA 2.0,7,17200,51.3,335,230,12.0,GDDR6,479,2021-03-03,,165.2,413.0,13.21,2321,2581,TSMC
95,Radeon R9 380,GCN 3.0,28,5000,13.7,366,190,2.0,GDDR5,199,2015-06-18,,31.04,108.6,3.476,,,TSMC
96,GeForce GTX 1070,PASCAL,16,7200,22.9,314,150,8.0,GDDR5,379,2016-06-10,,107.7,202.0,6.463,1506,1683,TSMC
97,GeForce RTX 3090 Ti,AMPERE,8,28300,45.1,628,450,24.0,GDDR6X,1999,2022-01-27,336,208.3,625.0,40.0,1560,1860,SAMSUNG
98,Radeon RX 6900 XT,RDNA 2.0,7,26800,51.5,520,300,16.0,GDDR6,999,2020-10-28,,288.0,720.0,23.04,1825,2250,TSMC
99,Radeon R7 260X,GCN 2.0,28,2080,13.0,160,115,2.0,GDDR5,139,2013-10-08,,17.6,61.6,1.971,,,TSMC
100,GeForce GTX 1070 Ti,PASCAL,16,7200,22.9,314,180,8.0,GDDR5,399,2017-11-02,,107.7,255.8,8.186,1607,1683,TSMC
101,Radeon RX 560,GCN 4.0,14,3000,24.4,123,75,4.0,GDDR5,99,2017-04-18,,20.4,81.6,2.611,1175,1275,GLOBALFOUNDRIES
102,Radeon R9 390X,GCN 2.0,28,6200,14.2,438,275,8.0,GDDR5,429,2015-06-18,,67.2,184.8,5.914,,,TSMC
103,GeForce GTX TITAN Z,KEPLER,28,7080,12.6,561,375,6.0,GDDR5,2999,2014-05-28,,52.56,210.2,5.046,705,876,TSMC
104,GeForce GTX 1080,PASCAL,16,7200,22.9,314,180,8.0,GDDR5X,599,2016-05-27,,110.9,277.3,8.873,1607,1733,TSMC
105,Radeon RX 6400,RDNA 2.0,6,5400,50.5,107,53,4.0,GDDR6,159,2022-01-19,,74.27,111.4,3.565,1923,2321,TSMC
106,GeForce GTX 980 Ti,MAXWELL 2.0,28,8000,13.3,601,250,6.0,GDDR5,649,2015-06-02,,103.3,189.4,6.06,1000,1076,TSMC
107,GeForce GTX 1080 11 GB,PASCAL,16,7200,22.9,314,180,8.0,GDDR5X,499,2017-04-20,,110.9,277.3,8.873,1607,1733,TSMC
108,Radeon RX 5600 XT,RDNA 1.0,7,10300,41.0,251,150,6.0,GDDR6,279,2020-01-21,,99.84,224.6,7.188,1130,1560,TSMC
109,GeForce RTX 2060 SUPER,TURING,12,10800,24.3,445,175,8.0,GDDR6,399,2019-07-09,272,105.6,224.4,7.181,1470,1650,TSMC
110,GeForce 6200,CURIE,110,146,0.9481,154,,0.125,DDR,,2004-10-11,,1.2,0.6,,,,TSMC
111,Radeon R7 360,GCN 2.0,28,2080,13.0,160,100,2.0,GDDR5,109,2015-06-18,,16.8,50.4,1.613,1000,1050,TSMC
112,GeForce GTX 760,KEPLER,28,3540,12.0,294,170,2.0,GDDR5,249,2013-06-25,,24.77,99.07,2.378,980,1032,TSMC
113,Radeon RX 5500 XT,RDNA 1.0,7,6400,40.5,158,130,4.0,GDDR6,169,2019-12-12,,59.04,162.4,5.196,1607,1845,TSMC
114,Radeon HD 7970,GCN 1.0,28,4313,12.3,352,250,3.0,GDDR5,549,2011-12-22,,29.6,118.4,3.789,,,TSMC
115,Radeon RX 470,GCN 4.0,14,5700,24.6,232,120,4.0,GDDR5,179,2016-08-04,,38.59,154.4,4.94,926,1206,GLOBALFOUNDRIES
116,Radeon R9 290X,GCN 2.0,28,6200,14.2,438,290,4.0,GDDR5,549,2013-10-24,,64.0,176.0,5.632,,,TSMC
117,Radeon R7 250X,GCN 1.0,28,1500,12.2,123,80,1.0,GDDR5,99,2014-02-13,,15.2,38.0,1.216,,,TSMC
118,GeForce GTX TITAN,KEPLER,28,7080,12.6,561,250,6.0,GDDR5,999,2013-02-19,,49.06,196.2,4.709,836,876,TSMC
119,Radeon R9 270X,GCN 1.0,28,2800,13.2,212,180,2.0,GDDR5,199,2013-10-08,,33.6,84.0,2.688,1000,1050,TSMC
120,Radeon RX 6750 XT,RDNA 2.0,7,17200,51.3,335,250,12.0,GDDR6,549,2022-03-03,,166.4,416.0,13.31,2150,2600,TSMC
121,Radeon RX Vega 64,GCN 5.0,14,12500,25.3,495,295,8.0,HBM2,499,2017-08-07,,98.94,395.8,12.66,1247,1546,GLOBALFOUNDRIES
122,GeForce RTX 2070,TURING,12,10800,24.3,445,175,8.0,GDDR6,499,2018-10-17,288,103.7,233.3,7.465,1410,1620,TSMC
