id,model,process_size_nm,transistor_count,die_size_mm2,launch_price_usd,release_date,core_count,thread_count,frequency_ghz,tdp_w,foundry
492,Core i5-12600,10.0,,163,233.0,2022-01-01,6,12,3.3,65.0,INTEL
493,EPYC 7451,14.0,4800.0,213,,2017-06-29,24,48,2.3,180.0,GLOBALFOUNDRIES
494,EPYC 7302P,7.0,3800.0,74,,2019-08-07,16,32,3.0,155.0,TSMC
495,Ryzen 7 3800X,7.0,3800.0,74,399.0,2019-07-07,8,16,3.9,105.0,TSMC
496,Ryzen 5 5600G,7.0,10700.0,180,259.0,2021-04-13,6,12,3.9,65.0,TSMC
497,Core i7-4820K,22.0,1860.0,257,,2013-09-01,4,8,3.7,130.0,INTEL
498,Core i7-10700F,14.0,,,,2020-04-30,8,16,2.9,65.0,INTEL
499,A10-7700K,28.0,2411.0,245,,2014-01-14,4,4,3.4,95.0,GLOBALFOUNDRIES
500,Xeon E5-2620 v3,22.0,2600.0,356,417.0,2014-09-08,6,12,2.4,85.0,INTEL
501,Ryzen 5 4600G,7.0,9800.0,156,154.0,2020-07-21,6,12,3.7,65.0,TSMC
502,A8-7650K,28.0,2411.0,245,,2015-01-07,4,4,3.3,95.0,GLOBALFOUNDRIES
503,A10-7890K,28.0,2411.0,245,,2016-01-11,4,4,4.0,95.0,GLOBALFOUNDRIES
504,Core i3-4330,22.0,1400.0,177,,2013-09-01,2,4,3.5,54.0,INTEL
505,Ryzen 5 3600X,7.0,3800.0,74,249.0,2019-07-07,6,12,3.8,95.0,TSMC
506,Xeon Silver 4114,,,,,,,,,,
507,Core i5-4690,22.0,1400.0,177,,2014-05-01,4,4,3.4,84.0,INTEL
508,A6-3650,32.0,1178.0,228,,2011-06-30,4,4,2.6,100.0,GLOBALFOUNDRIES
509,Core i7-11700,14.0,,276,,2021-03-16,8,16,2.5,65.0,INTEL
510,Xeon E3-1240V3,,,,,,,,,,
511,Xeon E5-2603 v3,22.0,2600.0,356,213.0,2014-09-08,6,6,1.6,85.0,INTEL
512,Pentium G3420,22.0,1400.0,177,,2013-09-01,2,2,3.2,54.0,INTEL
513,Ryzen 9 7900X,5.0,13140.0,142,549.0,2022-09-27,12,24,4.7,170.0,TSMC
514,Core i7-10700K,14.0,,,,2020-04-30,8,16,3.8,125.0,INTEL
515,Core i7-8700,14.0,,154,,2018-01-01,6,12,3.2,65.0,INTEL
516,Core i5-3210M,22.0,,118,,2012-06-01,2,4,2.5,35.0,INTEL
517,Core i7-12700F,10.0,,215,324.0,2022-01-04,12,20,2.1,65.0,INTEL
518,Xeon E3-1275V5,,,,,,,,,,
519,Pentium G860,32.0,504.0,131,,2011-09-04,2,2,3.0,65.0,INTEL
520,Core i5-9400F,14.0,,,,2019-01-08,6,6,2.9,65.0,INTEL
521,Athlon II X3 450,45.0,300.0,169,,2010-09-21,3,3,3.2,95.0,
522,A4-6320,32.0,1303.0,246,,2013-12-01,2,2,3.8,65.0,GLOBALFOUNDRIES
523,Xeon E5620,32.0,1170.0,239,,2010-03-16,4,8,2.4,80.0,INTEL
524,Ryzen Threadripper PRO 3975WX,7.0,15200.0,296,2749.0,2020-07-14,32,64,3.5,280.0,TSMC
525,Core i7-4960X,22.0,1860.0,257,,2013-09-03,6,12,3.6,130.0,INTEL
526,Xeon E5-2407 v2,22.0,1400.0,160,,2013-09-01,4,4,2.4,80.0,INTEL
527,Xeon E5-1660 v3,22.0,2600.0,356,,2014-09-08,8,16,3.0,140.0,INTEL
528,Core i5-4430,22.0,1400.0,177,,2013-06-02,4,4,3.0,84.0,INTEL
529,A8-7670K,28.0,2411.0,245,,2015-07-20,4,4,3.6,95.0,GLOBALFOUNDRIES
530,EPYC 7262,7.0,3800.0,74,,2019-08-07,8,16,3.1,155.0,TSMC
531,Ryzen 5 2600X MAX,,,,,,,,,,
532,A4-4000,32.0,1303.0,246,,2013-05-01,2,2,3.0,65.0,GLOBALFOUNDRIES
533,Pentium G2120,22.0,,94,,2012-09-03,2,2,3.1,55.0,INTEL
534,Xeon E5-2690 v4,,,,,,,,,,
535,Core i9-12900,10.0,,215,519.0,2022-01-04,16,24,2.4,65.0,INTEL
