id,model,process_size_nm,transistor_count,die_size_mm2,launch_price_usd,release_date,core_count,thread_count,frequency_ghz,tdp_w,foundry
267,Ryzen Threadripper 2920X,12.0,9600.0,426,649.0,2018-10-03,12,24,3.5,180.0,GLOBALFOUNDRIES
268,A6-7400K,28.0,2411.0,245,,2014-07-31,2,2,3.5,65.0,GLOBALFOUNDRIES
269,Core i5-12500,10.0,,163,212.0,2022-01-04,6,12,3.0,65.0,INTEL
270,A12-9800,28.0,3100.0,250,,2017-07-27,4,4,3.8,65.0,GLOBALFOUNDRIES
271,Xeon E3-1240V6,,,,,,,,,,
272,Ryzen 9 7950X,5.0,13140.0,140,699.0,2022-09-27,16,32,4.5,170.0,TSMC
273,Core i9-10900K,14.0,,206,,2020-04-30,10,20,3.7,125.0,INTEL
274,Core i9-7940X,14.0,,,,2017-09-01,14,28,3.1,165.0,INTEL
275,Xeon E5-2670,32.0,2270.0,435,,2012-03-06,8,16,2.6,115.0,INTEL
276,Xeon E5-2630 v3,22.0,2600.0,356,667.0,2014-09-08,8,16,2.4,85.0,INTEL
277,Core i9-12900F,10.0,,215,494.0,2022-01-04,16,24,2.4,65.0,INTEL
278,Core i9-9900X,14.0,,,,2018-10-19,10,20,3.5,165.0,INTEL
279,FX 9590-WOX,,,,,,,,,,
280,Core i5-10600K,14.0,,,,2020-04-30,6,12,4.1,125.0,INTEL
281,FX 8350,32.0,1200.0,315,199.0,2012-10-23,8,8,4.0,125.0,GLOBALFOUNDRIES
282,Core i9-11900,14.0,,276,439.0,2021-03-16,8,16,2.5,65.0,INTEL
283,Ryzen 9 3900XT,7.0,7600.0,148,499.0,2020-07-07,12,24,3.9,105.0,TSMC
284,Ryzen 5 1500X,14.0,4800.0,213,189.0,2017-04-11,4,8,3.5,65.0,GLOBALFOUNDRIES
285,Core i7-8700K,14.0,,154,,2017-10-05,6,12,3.7,95.0,INTEL
286,Pentium G630T,32.0,504.0,131,,2011-09-04,2,2,2.3,35.0,INTEL
287,Xeon E5645,32.0,1170.0,239,,2010-03-16,6,12,2.4,80.0,INTEL
288,Core i5-3330,22.0,,133,,2012-09-03,4,4,3.0,77.0,INTEL
289,Xeon E5-2603 v4,,,,,,,,,,
290,Core i5-4570,22.0,1400.0,177,,2013-06-02,4,4,3.2,84.0,INTEL
291,Core i7-4770,22.0,1400.0,177,312.0,2013-06-02,4,8,3.4,84.0,INTEL
292,Athlon X4 950,28.0,3100.0,250,,2017-07-27,4,4,3.5,65.0,GLOBALFOUNDRIES
293,A4-5300,32.0,1303.0,246,,2012-10-02,2,2,3.4,65.0,GLOBALFOUNDRIES
294,FX 9590,32.0,1200.0,315,,2013-06-11,8,8,4.7,220.0,GLOBALFOUNDRIES
295,Xeon E3-1220V5,,,,,,,,,,
296,Ryzen Threadripper 3960X,7.0,15200.0,296,1399.0,2019-11-25,24,48,3.8,280.0,TSMC
297,Ryzen 5 4500 ,7.0,9800.0,156,129.0,2022-04-04,6,12,3.6,65.0,TSMC
298,Ryzen 5 3500X,7.0,3800.0,74,,2019-09-24,6,6,3.6,65.0,TSMC
299,Core i3-4130,22.0,1400.0,177,,2013-09-01,2,4,3.4,54.0,INTEL
300,Ryzen 5 5600X,7.0,4150.0,81,299.0,2020-11-05,6,12,3.7,65.0,TSMC
301,Ryzen Threadripper 3970X,7.0,15200.0,296,1999.0,2019-11-25,32,64,3.7,280.0,TSMC
302,Core i5-12600K,10.0,,215,289.0,2021-11-04,10,16,3.7,125.0,INTEL
303,Ryzen Threadripper 2950X,12.0,9600.0,426,899.0,2018-08-31,16,32,3.5,180.0,GLOBALFOUNDRIES
304,Ryzen 3 1200,14.0,4800.0,213,109.0,2017-07-27,4,4,3.1,65.0,GLOBALFOUNDRIES
305,Sempron 2650,28.0,,107,,2014-04-09,2,2,1.45,25.0,GLOBALFOUNDRIES
306,Ryzen 5 3600XT,7.0,3800.0,74,249.0,2019-07-07,6,12,3.8,95.0,TSMC
307,Ryzen 3 PRO 2100GE,,,,,,,,,,
308,Core i5-9600K,14.0,,,,2018-10-19,6,6,3.7,95.0,INTEL
309,Core I3-2330M,32.0,624.0,149,,2011-06-01,2,4,2.2,35.0,INTEL
310,Pentium G7400,10.0,,,74.0,2022-01-04,2,4,3.7,46.0,INTEL
311,Ryzen Threadripper PRO 3955WX,7.0,15200.0,296,1149.0,2020-07-14,16,32,3.9,280.0,TSMC
312,Core i3-7100T,14.0,,,,2017-01-03,2,4,3.4,35.0,INTEL
313,Celeron 2950M,22.0,1400.0,118,,2013-09-01,2,2,2.0,37.0,INTEL
314,EPYC 7301,14.0,4800.0,213,,2017-06-29,16,32,2.2,170.0,GLOBALFOUNDRIES
315,Core i7-7700,14.0,,,,2017-01-03,4,8,3.6,65.0,INTEL
316,Pentium G6405 (Tray),,,,,,,,,,
317,Core i5-4690K,22.0,1400.0,177,,2014-06-02,4,4,3.5,88.0,INTEL
318,FX 8320,32.0,1200.0,315,169.0,2012-10-23,8,8,3.5,125.0,GLOBALFOUNDRIES
319,Core i5-8400,14.0,,,,2017-10-05,6,6,2.8,65.0,INTEL
320,Xeon E3-1275V6,,,,,,,,,,
321,A8-3870K,32.0,1178.0,228,,2011-12-20,4,4,3.0,100.0,GLOBALFOUNDRIES
322,Xeon E5-2407,32.0,1270.0,294,,2012-05-14,4,8,2.2,80.0,INTEL
323,A6-3500,32.0,1178.0,228,,2011-08-17,3,3,2.1,65.0,
324,Core i3-10105,14.0,,,,2021-03-16,4,8,3.7,65.0,INTEL
325,Core i3-4370,22.0,1400.0,177,,2014-07-21,2,4,3.8,54.0,INTEL
326,Xeon E5-1650 v3,22.0,2600.0,356,,2014-09-08,6,12,3.5,140.0,INTEL
327,Core i3-2120,32.0,504.0,131,,2011-02-20,2,4,3.3,65.0,INTEL
328,Ryzen 7 5800X3D,7.0,,74,449.0,2022-04-20,8,16,3.4,105.0,TSMC
329,Core i5-460M,32.0,382.0,81,,2010-09-26,2,4,2.534,35.0,INTEL
330,Core i5-10600,14.0,,,,2020-04-30,6,12,3.3,65.0,INTEL
331,Core i7-10700,14.0,,,,2020-04-30,8,16,2.9,65.0,INTEL
332,Xeon E3-1225V6,,,,,,,,,,
333,Xeon W3680,32.0,1170.0,239,,2010-03-16,6,12,3.333,130.0,INTEL
334,Core i3-8100,14.0,,126,117.0,2017-10-05,4,4,3.6,65.0,INTEL
335,Celeron B830,32.0,504.0,131,,2012-09-01,2,2,1.8,35.0,INTEL
336,Athlon X4 760K,32.0,1303.0,246,,2013-06-01,4,4,3.8,100.0,GLOBALFOUNDRIES
337,Xeon E3-1245V5,,,,,,,,,,
338,Pentium G3220,22.0,1400.0,177,,2013-09-01,2,2,3.0,54.0,INTEL
339,EPYC 7601,14.0,4800.0,213,,2017-06-29,32,64,2.2,180.0,GLOBALFOUNDRIES
340,Core i9-9940X,14.0,,,,2018-10-19,14,28,3.3,165.0,INTEL
341,Opteron 4122,,,,,,,,,,
342,Pentium G4520,14.0,1400.0,150,,2015-09-01,2,2,3.6,51.0,INTEL
343,Core i5-4570S,22.0,1400.0,177,,2013-06-02,4,4,2.9,65.0,INTEL
344,Core i7-3770S,22.0,1400.0,160,,2012-04-29,4,8,3.1,65.0,INTEL
345,Core i3-350M,32.0,382.0,81,,2010-01-07,2,4,2.267,35.0,INTEL
346,Xeon E3-1225V3,,,,,,,,,,
347,FX 8320E,32.0,1200.0,315,,2014-09-02,8,8,3.2,95.0,
348,Core i7-4712MQ,22.0,1400.0,177,378.0,2013-04-14,4,8,2.3,37.0,INTEL
349,Core i5-4690S,,,,,,,,,,
350,Athlon X4 845,28.0,3100.0,250,,2016-02-02,4,4,3.5,65.0,GLOBALFOUNDRIES
351,Opteron 4386,32.0,1200.0,315,,2012-12-04,8,8,3.1,95.0,
352,Core i5-3450S,22.0,1400.0,160,,2012-04-29,4,4,2.8,65.0,INTEL
353,Xeon E5-2603 v2,22.0,1400.0,160,,2013-09-01,4,4,1.8,80.0,INTEL
354,Opteron 6344,,,,,,,,,,
355,FX 4300,32.0,1200.0,315,122.0,2012-10-23,4,4,3.8,95.0,GLOBALFOUNDRIES
356,Core i9-9900K,14.0,,180.3,488.0,2018-10-19,8,16,3.6,95.0,INTEL
357,Xeon E5-2687W v2,22.0,1400.0,160,,2013-09-01,8,16,3.4,130.0,INTEL
358,Celeron G1620,22.0,,94,,2012-12-03,2,2,2.7,55.0,INTEL
359,Core i3-3110M,22.0,,118,,2012-06-01,2,4,2.4,35.0,INTEL
